source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C162152,Advanced Colon Adenocarcinoma,R104,Disease_Has_Normal_Cell_Origin,C33923,Glandular Cell,role,out
C162152,Advanced Colon Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C45714,Epithelial Tissue,role,out
C162152,Advanced Colon Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C43370,Glandular Epithelium,role,out
C162152,Advanced Colon Adenocarcinoma,R103,Disease_Has_Normal_Tissue_Origin,C32926,Large Intestinal Mucosa,role,out
C162152,Advanced Colon Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C12382,Colon,role,out
C162152,Advanced Colon Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C54189,Colorectal Region,role,out
C162152,Advanced Colon Adenocarcinoma,R101,Disease_Has_Primary_Anatomic_Site,C12378,Digestive System,role,out
C162152,Advanced Colon Adenocarcinoma,R176,Disease_Mapped_To_Gene,C17567,APC Gene,role,out
C162152,Advanced Colon Adenocarcinoma,R176,Disease_Mapped_To_Gene,C18363,BRAF Gene,role,out
C162152,Advanced Colon Adenocarcinoma,R176,Disease_Mapped_To_Gene,C25785,KRAS Gene,role,out
C162152,Advanced Colon Adenocarcinoma,R176,Disease_Mapped_To_Gene,C17359,TP53 Gene,role,out
C162152,Advanced Colon Adenocarcinoma,R115,Disease_May_Have_Finding,C78438,Lower Gastrointestinal Hemorrhage,role,out
C162152,Advanced Colon Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C40430,BRAF Gene Mutation,role,out
C162152,Advanced Colon Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36683,Inactivating APC Gene Mutation,role,out
C162152,Advanced Colon Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36665,KRAS Gene Amplification,role,out
C162152,Advanced Colon Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C43597,MYC Gene Mutation,role,out
C162152,Advanced Colon Adenocarcinoma,R89,Disease_May_Have_Molecular_Abnormality,C36329,TP53 Gene Inactivation,role,out
C167238,Advanced Colon Carcinoma,A8,Concept_In_Subset,C118168,CTRP Disease Terminology,association,out
C167238,Advanced Colon Carcinoma,A8,Concept_In_Subset,C116977,CTRP Terminology,association,out
C167238,Advanced Colon Carcinoma,R139,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out
